alt;neu;thema_neu;art
Anteil einer unterteilten Kreisfläche bestimmen;Bruchteil einer Fläche bestimmen;;zusammenziehen
Trapezfläche im Koordinatensystem aus Funktionsgraph und Geraden berechnen;Flächeninhalt einer von Graphen begrenzten Figur berechnen;;umbenennen
Flächeninhalt eines Vierecks aus den Achsenschnittpunkten zweier Funktionsgraphen berechnen;Flächeninhalt einer von Graphen begrenzten Figur berechnen;;zusammenziehen
Winkel als Differenz zweier Teilwinkel in einem zusammengesetzten rechtwinkligen Dreieck nachweisen;Winkel aus Teilwinkeln berechnen;;zusammenziehen
Flächenberechnung eines Vielecks anhand einer vorgegebenen Gleichung erläutern;Gleichung zu Figur erläutern;;umbenennen
Dreieck aus Koordinaten als gleichschenklig-rechtwinklig nachweisen;Dreiecksart aus Koordinaten nachweisen;;umbenennen
Gleich große oder doppelt so große Winkel in einer aus kongruenten Dreiecken zusammengesetzten Figur kennzeichnen;Winkel in zusammengesetzter Figur kennzeichnen;;umbenennen
Farbmenge aus Fläche und Ergiebigkeit berechnen;Materialbedarf aus Fläche berechnen;;zusammenziehen
Parameter einer Exponentialfunktion aus Graph bestimmen;Parameter einer Exponentialfunktion bestimmen;;umbenennen
Parameter einer Exponentialfunktion aus einer Wertetabelle bestimmen;Parameter einer Exponentialfunktion bestimmen;;zusammenziehen
Wertetabelle auf Exponentialfunktion prüfen;Wachstumsfaktor aus Tabelle bestimmen;;zusammenziehen
Sachaufgabe zu einer Gleichungskette formulieren;Gleichungskette im Sachzusammenhang erläutern;;umbenennen
Aussage über einen Logarithmusterm als Abstand zur y-Achse prüfen;Aussage zu Logarithmusterm prüfen;;umbenennen
Exponentialfunktion vertikal verschieben und Schnittpunkt mit der y-Achse angeben;Exponentialfunktion verschieben;;umbenennen
Maximale Anzahl rechteckiger Objekte auf einer Fläche bestimmen;Anzahl gleicher Rechtecke auf Fläche bestimmen;;umbenennen
Flächeninhalt eines Drachenvierecks aus Diagonalen berechnen;Flächeninhalt Drachenviereck berechnen;;zusammenziehen
Innendurchmesser eines Kreisrings aus Flächeninhalt und Außendurchmesser berechnen;Kreisringmaß aus Fläche berechnen;;umbenennen
Flächeninhalt eines aus vier kongruenten rechtwinkligen Dreiecken zusammengesetzten Vierecks berechnen;Flächeninhalt zusammengesetzter Figur berechnen;;zusammenziehen
Symmetrie einer geraden Funktion zur Bestimmung eines Funktionswertes ohne Rechnung nutzen;Funktionswert über Symmetrie bestimmen;;umbenennen
Datenreihen anhand von Kenngrößen vergleichen und begründen;Datenreihen anhand von Kenngrößen vergleichen;;umbenennen
Mehrere Kenngrößen zweier Datenreihen vergleichend bestimmen;Datenreihen anhand von Kenngrößen vergleichen;;zusammenziehen
Streckenlänge über ein konstruiertes Parallelogramm im Vieleck begründen;Streckenlänge im Vieleck begründen;;umbenennen
Grundfläche eines Prismas im Körpernetz kennzeichnen;Grundfläche im Netz kennzeichnen;;umbenennen
Maße eines Körpers aus einem bemaßten Netz im Maßstab ablesen;Maße aus Netz im Maßstab ablesen;;umbenennen
Geradengleichung aus Steigung und Punkt bestimmen;Geradengleichung aus Punkt und einem Parameter bestimmen;;umbenennen
